id,question,answer,question_answer_id,bot_id
3176223,座席変更したい,座席変更したいのですね。もう座席は決まっていますか？決まっていたら新しい座席情報を総務部に連絡してください。,10903,11
3176224,座席変更する予定,座席変更する予定なのですね。　変更予定日や新しい座席の情報を総務部に連絡してください。,10904,11
3176225,スローガン,今年のスローガンですか？,10905,11
3176226,カードキーを忘れた,貸し出し用のカードキーを総務部で渡しますので、取りに行ってください。,10906,11
3176227,カードキーが無い,まだ受け取っていないのですか？,10907,11
3176228,カードキーの入れ物が壊れた,総務部に連絡してください。すぐに準備しますね。,10908,11
3176229,カードキーの入れ物が欲しい,総務部に連絡してください。すぐに準備しますね。,10909,11
3176230,カードケースが壊れた,総務部に連絡してください。すぐに準備しますね。,10910,11
3176231,カードケースを取り替えたい,総務部に連絡してください。すぐに準備しますね。,10911,11
3176232,会議室を予約したい,イントラの設備予約から予約できますよ。　希望の日時で空きのある部屋も確認できますよ！,10912,11
3176233,ワークルームを予約したい,"ワークルームの予約がしたいのですね。
ワークルームは総務部しか予約できませんので、利用用途と日時を総務部まで連絡してください。",10913,11
3176234,顧問室を予約したい,"顧問室の予約がしたいのですね。
顧問室は人事部と総務部しか予約できませんので、利用用途と日時を連絡してください。",10914,11
3176235,部屋が暑い,"部屋が暑いのですか？
大変失礼しました。温度調整は総務部で対応しますので、総務の方へ連絡してください。",10915,11
3176236,部屋が寒い,"部屋が暑いのですか？
大変失礼しました。温度調整は総務部で対応しますので、総務の方へ連絡してください。",10916,11
3176237,貸会議室を使いたい,レンタカー利用ですね。初めて利用しますか？,10917,11
3176238,貸会議室を借りたい,レンタカー利用ですね。初めて利用しますか？,10918,11
3176239,給茶機が壊れた,レンタカー利用ですね。初めて利用しますか？,10919,11
3176240,給茶機の水が出ない,レンタカー利用ですね。初めて利用しますか？,10920,11
3176241,給茶機のお湯が出ない,レンタカー利用ですね。初めて利用しますか？,10921,11
3176242,給茶機の粉が無い,レンタカー利用ですね。初めて利用しますか？,10922,11
3176243,コーヒーが無い,自分で作るか、○々野さんが作ってくれるので、お願いしてみて！,10923,11
3176244,コーヒーのフィルターが無い,レンタカー利用ですね。初めて利用しますか？,10924,11
3176245,コーヒーの豆が無い,レンタカー利用ですね。初めて利用しますか？,10925,11
3176246,コーヒーのミルクがない,レンタカー利用ですね。初めて利用しますか？,10926,11
3176247,コーヒーのスプーンが無い,レンタカー利用ですね。初めて利用しますか？,10927,11
3176248,紙コップが無い,レンタカー利用ですね。初めて利用しますか？,10928,11
3176249,グラスが無い,レンタカー利用ですね。初めて利用しますか？,10929,11
3176250,湯呑みが無い,レンタカー利用ですね。初めて利用しますか？,10930,11
3176251,茶受けが無い,レンタカー利用ですね。初めて利用しますか？,10931,11
3176252,延長コードを借りたい,レンタカー利用ですね。初めて利用しますか？,10932,11
3176253,延長コードを使いたい,レンタカー利用ですね。初めて利用しますか？,10933,11
3176254,テプラを使いたい,レンタカー利用ですね。初めて利用しますか？,10934,11
3176255,テプラを借りたい,レンタカー利用ですね。初めて利用しますか？,10935,11
3176256,ICレコーダーを使いたい,レンタカー利用ですね。初めて利用しますか？,10936,11
3176257,ICレコーダーを借りたい,レンタカー利用ですね。初めて利用しますか？,10937,11
3176258,ビデオカメラを使いたい,台車を借りたいのですね。　Ｓ棟のカラー複合機の周辺にありますよ。　使い終わったらちゃんと戻してくださいね！,10938,11
3176259,ビデオカメラを借りたい,レンタカー利用ですね。初めて利用しますか？,10939,11
3176260,SDカードが無い,SDカードがないのですか？　ビデオカメラ本体か箱の中にないですか？,10940,11
3176261,デジカメを使いたい,デジカメを使いたいのですね。イントラで設備予約してから総務部に声をかけてください。メモリーカードが入っているか確認してくださいね。,10941,11
3176262,デジカメを借りたい,デジカメを借りたいのですね。イントラで設備予約してから総務部に声をかけてください。メモリーカードが入っているか確認してくださいね。,10942,11
3176263,三脚を使いたい,三脚を使いたいのですね。総務部に声をかけてください。　使い終わったらちゃんと戻してくださいね！,10943,11
3176264,三脚を借りたい,三脚を借りたいのですね。総務部に声をかけてください。　使い終わったらちゃんと戻してくださいね！,10944,11
3176265,AEDを借りたい,AEDを借りたいのですね。イントラで設備予約してから総務部に声をかけてください。持ち出しの際、落としたりしないように注意してくださいね。,10945,11
3176266,レーザーポインターを使いたい,レーザーポインターを使いたいのですね。イントラで設備予約してから総務部に声をかけてください。　借りるときは電池があるか確認してくださいね。,10946,11
3176267,レーザーポインターを借りたい,レーザーポインターを借りたいのですね。イントラで設備予約してから総務部に声をかけてください。　借りるときは電池があるか確認してくださいね。,10947,11
3176268,電話会議システムを使いたい,レンタカー利用ですね。初めて利用しますか？,10948,11
3176269,電話会議システムを借りたい,レンタカー利用ですね。初めて利用しますか？,10949,11
3176270,プロジェクターが壊れた,レンタカー利用ですね。初めて利用しますか？,10950,11
3176271,プロジェクターが壊してしまった,レンタカー利用ですね。初めて利用しますか？,10951,11
3176272,プロジェクターが無い,レンタカー利用ですね。初めて利用しますか？,10952,11
3176273,プロジェクターを使いたい,レンタカー利用ですね。初めて利用しますか？,10953,11
3176274,プロジェクターを予約したい,レンタカー利用ですね。初めて利用しますか？,10954,11
3176275,プロジェクターを借りたい,レンタカー利用ですね。初めて利用しますか？,10955,11
3176276,iPadを使いたい,iPadを使いたいのですね。　利用場所は社内ですか。それとも社内に持ち出しますか。,10956,11
3176277,iPadを借りたい,レンタカー利用ですね。初めて利用しますか？,10957,11
3176278,コートハンガーを使いたい,コートハンガーを使いたいのですね。　各棟に設置していますので、自席に使いところを利用してください。,10958,11
3176279,コート掛けを使いたい,コートハンガーを使いたいのですね。　各棟に設置していますので、自席に使いところを利用してください。,10959,11
3176280,携帯が壊れた,携帯が壊れたんですね。今どういう状態ですか？,10960,11
3176281,携帯が動かない,携帯が動かないんですね。今どういう状態ですか？,10961,11
3176282,携帯を換えたい,携帯を交換したいのですね。理由を伺ってもよろしいですか？,10962,11
3176283,携帯の電池の減りが早いので交換したい,携帯の電池の減りが早いんですね。今どういう状態ですか？,10963,11
3176284,iPhoneのメッセージが壊れた,iPhoneのメッセージ・メールが壊れたんですね。今どういう状態ですか？,10964,11
3176285,iPhoneのメッセージが送れない,iPhoneのメッセージ・メールが送れないんですね。今どういう状態ですか？,10965,11
3176286,iPhoneのメッセージが届かない,iPhoneのメッセージ・メールが相手に届かないんですね。今どういう状態ですか？,10966,11
3176287,iPhoneのメッセージが重い,iPhoneのメッセージ・メールの動きが重たくなっているんですね。今どういう状態ですか？,10967,11
3176288,iPhoneのメッセージが動かない,iPhoneのメッセージ・メールが動かないんですね。今どういう状態ですか？,10968,11
3176289,iPhoneのメッセージの動きが遅い,iPhoneのメッセージ・メールの動きが重たくなっているんですね。今どういう状態ですか？,10969,11
3176290,iPhoneの電池の減りが早いので交換したい,iPhoneの電池の減りが早いんですね。今どういう状態ですか？,10970,11
3176291,携帯・スマホのカバーが欲しい,レンタカー利用ですね。初めて利用しますか？,10971,11
3176292,携帯・スマホのカバーを交換してほしい,レンタカー利用ですね。初めて利用しますか？,10972,11
3176293,携帯・スマホのフィルムが欲しい,レンタカー利用ですね。初めて利用しますか？,10973,11
3176294,携帯・スマホのフィルムを交換してほしい,レンタカー利用ですね。初めて利用しますか？,10974,11
3176295,お守りステッカーが欲しい,レンタカー利用ですね。初めて利用しますか？,10975,11
3176296,イヤホンが壊れた,イヤホンが壊れたんですね。今どういう状態ですか？,10976,11
3176297,イヤホンの新しいのが欲しい,レンタカー利用ですね。初めて利用しますか？,10977,11
3176298,イヤホンを交換してほしい,レンタカー利用ですね。初めて利用しますか？,10978,11
3176299,充電コードが切れた,充電コードが切れたんですね。充電コードの種類は何ですか？,10979,11
3176300,充電コードが壊れた,充電コードが壊れたんですね。充電コードの種類は何ですか？,10980,11
3176301,充電コードの新しいのが欲しい,新しい充電コードが欲しいんですね。充電コードの種類は何ですか？,10981,11
3176302,充電コードを交換してほしい,レンタカー利用ですね。初めて利用しますか？,10982,11
3176303,機種変更したい,レンタカー利用ですね。初めて利用しますか？,10983,11
3176304,iPhoneにしたい,レンタカー利用ですね。初めて利用しますか？,10984,11
3176305,ガラケーにしたい,レンタカー利用ですね。初めて利用しますか？,10985,11
3176306,電話帳を更新したい,レンタカー利用ですね。初めて利用しますか？,10986,11
3176307,スマホの電話帳を更新したい,レンタカー利用ですね。初めて利用しますか？,10987,11
3176308,スマホの連絡先を更新したい,レンタカー利用ですね。初めて利用しますか？,10988,11
3176309,携帯の電話帳を更新したい,レンタカー利用ですね。初めて利用しますか？,10989,11
3176310,携帯の連絡先を更新したい,レンタカー利用ですね。初めて利用しますか？,10990,11
3176311,メールアドレスが無い,PC用のアドレスですか？,10991,11
3176312,メールアドレスを作りたい,PC用のアドレスですか？,10992,11
3176313,メールアドレスが欲しい,PC用のアドレスですか？,10993,11
3176314,メールアドレスをもらってない,PC用のアドレスですか？,10994,11
3176315,決裁取れたか知りたい,レンタカー利用ですね。初めて利用しますか？,10995,11
3176316,決裁が今どこ回っているか知りたい,起案した決裁申請の状況を知りたいのですか。,10996,11
3176317,過去の決裁を見たい,過去の決裁を見たいのですね。それでは、決裁番号と冊子番号が分かれば、総務部で確認できますよ。　総務の人は、田中さん（内線801401）、中島さん（内線801402）、渡辺さん（内線801403）です。,10997,11
3176318,捺印終わったか知りたい,捺印が終わったのか確認されたいのですね。それでは、総務部の方に確認してください。　総務の人は、田中さん（内線801401）、中島さん（内線801402）、渡辺さん（内線801403）です。,10998,11
3176319,捺印が今どこ回っているか知りたい,レンタカー利用ですね。初めて利用しますか？,10999,11
3176320,EXカードを借りたい,レンタカー利用ですね。初めて利用しますか？,11000,11
3176321,出張したい,レンタカー利用ですね。初めて利用しますか？,11001,11
3176322,コピー用紙が欲しい,レンタカー利用ですね。初めて利用しますか？,11002,11
3176323,コピー用紙が無い,レンタカー利用ですね。初めて利用しますか？,11003,11
3176324,封筒が欲しい,レンタカー利用ですね。初めて利用しますか？,11004,11
3176325,封筒を買いたい,レンタカー利用ですね。初めて利用しますか？,11005,11
3176326,封筒が無い,レンタカー利用ですね。初めて利用しますか？,11006,11
3176327,会社概要が欲しい,レンタカー利用ですね。初めて利用しますか？,11007,11
3176328,会社概要が無い,レンタカー利用ですね。初めて利用しますか？,11008,11
3176329,会社案内が欲しい,レンタカー利用ですね。初めて利用しますか？,11009,11
3176330,会社案内が無い,レンタカー利用ですね。初めて利用しますか？,11010,11
3176331,紙袋が欲しい,レンタカー利用ですね。初めて利用しますか？,11011,11
3176332,紙袋が無い,レンタカー利用ですね。初めて利用しますか？,11012,11
3176333,ラミネートフィルムを使いたい,レンタカー利用ですね。初めて利用しますか？,11013,11
3176334,ラミネートフィルムを借りたい,レンタカー利用ですね。初めて利用しますか？,11014,11
3176335,ひもが欲しい,レンタカー利用ですね。初めて利用しますか？,11015,11
3176336,ひもが無くなった,レンタカー利用ですね。初めて利用しますか？,11016,11
3176337,紙コップが欲しい,レンタカー利用ですね。初めて利用しますか？,11017,11
3176338,ゴミを捨てたい,レンタカー利用ですね。初めて利用しますか？,11018,11
3176339,ゴミがいっぱいになった,レンタカー利用ですね。初めて利用しますか？,11019,11
3176340,段ボールを捨てたい,レンタカー利用ですね。初めて利用しますか？,11020,11
3176341,電池を捨てたい,レンタカー利用ですね。初めて利用しますか？,11021,11
3176342,割れ物を捨てたい,レンタカー利用ですね。初めて利用しますか？,11022,11
3176343,来社記録票が欲しい,レンタカー利用ですね。初めて利用しますか？,11023,11
3176344,来社記録票が無い,レンタカー利用ですね。初めて利用しますか？,11024,11
3176345,来社記録票が受付に置いてある,レンタカー利用ですね。初めて利用しますか？,11025,11
3176346,来社記録票をどこに置くかわからない,レンタカー利用ですね。初めて利用しますか？,11026,11
3176347,落し物が届いていますか？,レンタカー利用ですね。初めて利用しますか？,11027,11
3176348,落し物を見つけたのですが・・・,レンタカー利用ですね。初めて利用しますか？,11028,11
3176349,ポスターを貼りたい,レンタカー利用ですね。初めて利用しますか？,11029,11
3176350,掃除道具が欲しい,レンタカー利用ですね。初めて利用しますか？,11030,11
3176351,掃除道具を借りたい,レンタカー利用ですね。初めて利用しますか？,11031,11
3176352,雑巾が欲しい,レンタカー利用ですね。初めて利用しますか？,11032,11
3176353,雑巾を借りたい,レンタカー利用ですね。初めて利用しますか？,11033,11
3176354,雑巾を買いたい,レンタカー利用ですね。初めて利用しますか？,11034,11
3176355,ふきんが無くなった,レンタカー利用ですね。初めて利用しますか？,11035,11
3176356,ふきんが欲しい,レンタカー利用ですね。初めて利用しますか？,11036,11
3176357,ふきんを買いたい,レンタカー利用ですね。初めて利用しますか？,11037,11
3176358,洗剤が無くなった,レンタカー利用ですね。初めて利用しますか？,11038,11
3176359,洗剤が欲しい,レンタカー利用ですね。初めて利用しますか？,11039,11
3176360,洗剤を買いたい,レンタカー利用ですね。初めて利用しますか？,11040,11
3176361,スポンジが無くなった,レンタカー利用ですね。初めて利用しますか？,11041,11
3176362,スポンジが欲しい,レンタカー利用ですね。初めて利用しますか？,11042,11
3176363,スポンジを買いたい,レンタカー利用ですね。初めて利用しますか？,11043,11
3176364,スポンジを交換したい,レンタカー利用ですね。初めて利用しますか？,11044,11
3176365,観葉植物が枯れている,レンタカー利用ですね。初めて利用しますか？,11045,11
3176366,観葉植物を捨てたい,レンタカー利用ですね。初めて利用しますか？,11046,11
3176367,観葉植物を移動させたい,レンタカー利用ですね。初めて利用しますか？,11047,11
3176368,定期券がほしい,通勤交通費の定期券ですか？,11048,11
3176369,ヘルメットが欲しい,レンタカー利用ですね。初めて利用しますか？,11049,11
3176370,ヘルメットが無い,レンタカー利用ですね。初めて利用しますか？,11050,11
3176371,軍手が欲しい,レンタカー利用ですね。初めて利用しますか？,11051,11
3176372,軍手が無い,レンタカー利用ですね。初めて利用しますか？,11052,11
3176373,マグネットのハンガーが欲しい,レンタカー利用ですね。初めて利用しますか？,11053,11
3176374,マグネットのハンガーが無い,レンタカー利用ですね。初めて利用しますか？,11054,11
3176375,宅配伝票が欲しい・見たい,レンタカー利用ですね。初めて利用しますか？,11055,11
3176376,社内便の〆は何時なの？,レンタカー利用ですね。初めて利用しますか？,11056,11
3176377,宅配便の〆は何時なの？,レンタカー利用ですね。初めて利用しますか？,11057,11
3176378,ヤマト便の〆は何時なの？,レンタカー利用ですね。初めて利用しますか？,11058,11
3176379,佐川急便の〆は何時なの？,レンタカー利用ですね。初めて利用しますか？,11059,11
3176380,ゆうパックの〆は何時なの？,レンタカー利用ですね。初めて利用しますか？,11060,11
3176381,社内便でパソナグループに送れますか？,レンタカー利用ですね。初めて利用しますか？,11061,11
3176382,社内便でソリューションズに送れますか？,レンタカー利用ですね。初めて利用しますか？,11062,11
3176383,社内便でヘルスケアに送れますか？,レンタカー利用ですね。初めて利用しますか？,11063,11
3176384,社内便でペイロールに送れますか？,レンタカー利用ですね。初めて利用しますか？,11064,11
3176385,社内便の封筒が無い・無くなった・欲しい,レンタカー利用ですね。初めて利用しますか？,11065,11
3176386,郵便を出したい,レンタカー利用ですね。初めて利用しますか？,11066,11
3176387,ハスラーの使い方が分からない,レンタカー利用ですね。初めて利用しますか？,11067,11
3176388,ハスラーが動かない,レンタカー利用ですね。初めて利用しますか？,11068,11
3176389,ハスラーで押し間違えてしまった,レンタカー利用ですね。初めて利用しますか？,11069,11
3176390,シールが無い,レンタカー利用ですね。初めて利用しますか？,11070,11
3176391,ハスラーのインクが切れた,レンタカー利用ですね。初めて利用しますか？,11071,11
3176392,ハスラーの残高不足になっている,レンタカー利用ですね。初めて利用しますか？,11072,11
3176393,ハスラーの料金不足になっている,レンタカー利用ですね。初めて利用しますか？,11073,11
3176394,利用者（発送者）を確認したい,誰が出した（使った）のか確認したいのですか？,11074,11
3176395,椅子が壊れた,レンタカー利用ですね。初めて利用しますか？,11075,11
3176396,椅子を交換してほしい,レンタカー利用ですね。初めて利用しますか？,11076,11
3176397,机が壊れた,レンタカー利用ですね。初めて利用しますか？,11077,11
3176398,机を交換してほしい,レンタカー利用ですね。初めて利用しますか？,11078,11
3176399,椅子が欲しい,レンタカー利用ですね。初めて利用しますか？,11079,11
3176400,机が欲しい,レンタカー利用ですね。初めて利用しますか？,11080,11
3176401,固定電話機がない,レンタカー利用ですね。初めて利用しますか？,11081,11
3176402,固定電話機が欲しい,レンタカー利用ですね。初めて利用しますか？,11082,11
3176403,合キーを作りたい,レンタカー利用ですね。初めて利用しますか？,11083,11
3176404,机のキーが無い,レンタカー利用ですね。初めて利用しますか？,11084,11
3176405,キャビネットのキーが無い,レンタカー利用ですね。初めて利用しますか？,11085,11
3176406,プリンターーのトナーが欲しい,レンタカー利用ですね。初めて利用しますか？,11086,11
3176407,プリンターーのトナーが無くなった,レンタカー利用ですね。初めて利用しますか？,11087,11
3176408,プリンターーのトナーを交換したい,レンタカー利用ですね。初めて利用しますか？,11088,11
3176409,時計の時刻がずれている,レンタカー利用ですね。初めて利用しますか？,11089,11
3176410,時計の針が止まっている,レンタカー利用ですね。初めて利用しますか？,11090,11
3176411,チャイムがずれている・直してほしい,レンタカー利用ですね。初めて利用しますか？,11091,11
3176412,穴開けパンチを借りたい,レンタカー利用ですね。初めて利用しますか？,11092,11
3176413,厚いものをホチキスで止めたい,レンタカー利用ですね。初めて利用しますか？,11093,11
3176414,クリアファイルが無い,レンタカー利用ですね。初めて利用しますか？,11094,11
3176415,クリアファイルが欲しい,レンタカー利用ですね。初めて利用しますか？,11095,11
3176416,クリアファイルがいらなくなった,レンタカー利用ですね。初めて利用しますか？,11096,11
3176417,台車を借りたい,台車を借りたいのですね。　Ｓ棟のカラー複合機の周辺にありますよ。　使い終わったらちゃんと戻してくださいね！,11097,11
3176418,台車を使いたい,台車を使いたいのですね。　Ｓ棟のカラー複合機の周辺にありますよ。　使い終わったらちゃんと戻してくださいね！,11098,11
3176419,脚立を借りたい,脚立を借りたいのですね。　Ｓ棟のカラー複合機の周辺に置いてあります。　使い終わったらちゃんと戻してくださいね！,11099,11
3176420,脚立を使いたい,脚立を使いたいのですね。　Ｓ棟のカラー複合機の周辺に置いてあります。　使い終わったらちゃんと戻してくださいね！,11100,11
3176421,ドライバーを借りたい,レンタカー利用ですね。初めて利用しますか？,11101,11
3176422,電気が切れた,レンタカー利用ですね。初めて利用しますか？,11102,11
3176423,蛍光灯が切れた,レンタカー利用ですね。初めて利用しますか？,11103,11
3176424,ジュースをこぼした,レンタカー利用ですね。初めて利用しますか？,11104,11
3176425,コーヒーをこぼした,レンタカー利用ですね。初めて利用しますか？,11105,11
3176426,お茶をこぼした,レンタカー利用ですね。初めて利用しますか？,11106,11
3176427,床を汚してしまった,レンタカー利用ですね。初めて利用しますか？,11107,11
3176428,ブラインドが壊れた,レンタカー利用ですね。初めて利用しますか？,11108,11
3176429,ブラインドが動かない,レンタカー利用ですね。初めて利用しますか？,11109,11
3176430,テプラのテープが無くなった,レンタカー利用ですね。初めて利用しますか？,11110,11
3176431,テプラのテープが欲しい,レンタカー利用ですね。初めて利用しますか？,11111,11
3176432,文具が欲しい,レンタカー利用ですね。初めて利用しますか？,11112,11
3176433,製本テープが欲しい,レンタカー利用ですね。初めて利用しますか？,11113,11
3176434,製本テープが使いたい,レンタカー利用ですね。初めて利用しますか？,11114,11
3176435,電池が欲しい,レンタカー利用ですね。初めて利用しますか？,11115,11
3176436,電池が無くなった,レンタカー利用ですね。初めて利用しますか？,11116,11
3176437,付箋が欲しい,レンタカー利用ですね。初めて利用しますか？,11117,11
3176438,付箋が無くなった,レンタカー利用ですね。初めて利用しますか？,11118,11
3176439,ホワイトボードマーカーがほしい,レンタカー利用ですね。初めて利用しますか？,11119,11
3176440,ホワイトボードマーカーが無くなった,レンタカー利用ですね。初めて利用しますか？,11120,11
3176441,ガムテープが欲しい,レンタカー利用ですね。初めて利用しますか？,11121,11
3176442,ガムテープが無くなった,レンタカー利用ですね。初めて利用しますか？,11122,11
3176443,セロテープが欲しい,レンタカー利用ですね。初めて利用しますか？,11123,11
3176444,セロテープが無くなった,レンタカー利用ですね。初めて利用しますか？,11124,11
3176445,消しゴムが欲しい,レンタカー利用ですね。初めて利用しますか？,11125,11
3176446,消しゴムが無くなった,レンタカー利用ですね。初めて利用しますか？,11126,11
3176447,シャーペンの芯が欲しい,レンタカー利用ですね。初めて利用しますか？,11127,11
3176448,シャーペンの芯が無くなった,レンタカー利用ですね。初めて利用しますか？,11128,11
3176449,ホチキスの針が欲しい,レンタカー利用ですね。初めて利用しますか？,11129,11
3176450,ホチキスの針が無くなった,レンタカー利用ですね。初めて利用しますか？,11130,11
3176451,クリップが欲しい,レンタカー利用ですね。初めて利用しますか？,11131,11
3176452,クリップが無い,レンタカー利用ですね。初めて利用しますか？,11132,11
3176453,輪ゴムが欲しい,レンタカー利用ですね。初めて利用しますか？,11133,11
3176454,輪ゴムが無い,レンタカー利用ですね。初めて利用しますか？,11134,11
3176455,のりが欲しい,レンタカー利用ですね。初めて利用しますか？,11135,11
3176456,のりが無い,レンタカー利用ですね。初めて利用しますか？,11136,11
3176457,デート印が壊れた,レンタカー利用ですね。初めて利用しますか？,11137,11
3176458,名刺が無くなった,レンタカー利用ですね。初めて利用しますか？,11138,11
3176459,名刺を作りたい,レンタカー利用ですね。初めて利用しますか？,11139,11
3176460,名刺の内容を変更したい,レンタカー利用ですね。初めて利用しますか？,11140,11
3176461,名刺の内容を変えたい,レンタカー利用ですね。初めて利用しますか？,11141,11
3176462,氷が無い,レンタカー利用ですね。初めて利用しますか？,11142,11
3176463,氷ができない,レンタカー利用ですね。初めて利用しますか？,11143,11
3176464,冷蔵庫がいっぱいで入らない,レンタカー利用ですね。初めて利用しますか？,11144,11
3176465,冷蔵庫の整理をしてほしい,レンタカー利用ですね。初めて利用しますか？,11145,11
3176466,変なものが入っている,レンタカー利用ですね。初めて利用しますか？,11146,11
3176467,レンタカーを使いたい（ニッポンレンタカー）,レンタカー利用ですね。初めて利用しますか？,11147,11
3176468,レンタカー申請したい（ニッポンレンタカー）,レンタカー利用ですね。初めて利用しますか？,11148,11
3176469,レンタカーを使いたい,レンタカー利用ですね。初めて利用しますか？,11149,11
3176470,レンタカー申請したい,レンタカー利用ですね。初めて利用しますか？,11150,11
3176471,カーシェアを使いたい,レンタカー利用ですね。初めて利用しますか？,11151,11
3176472,レンタカー初めて使いたい,レンタカー利用ですね。初めて利用しますか？,11152,11
3176473,安全講習受けてない,レンタカー利用ですね。初めて利用しますか？,11153,11
3176474,安全講習受けたい,レンタカー利用ですね。初めて利用しますか？,11154,11
3176475,安全講習受けてないけどレンタカー使いたい,レンタカー利用ですね。初めて利用しますか？,11155,11
3176476,ETCカードを借りたい,レンタカー利用ですね。初めて利用しますか？,11156,11
3176477,ノートPCを借りたい,申請、予約済みですか？,11157,11
3176478,PCの時間外利用,申請済ですか,11158,11
3176479,PCの電源がつかない,PCに電源ケーブルが接続されているか？,11159,11
3176480,PCが故障した,デスクトップですか？ノートですか？,11160,11
3176481,iPhoneのテザリング,PCにiPhone名は表示されますか,11161,11
3176482,アカウントロックされた,どのアカウントですか,11162,11
3176483,ネットワ−クが繋がらない,PCにLANケーブルは繋がってますか？,11163,11
3176484,Wordについて,質問内容はどれでしょう,11164,11
3176485,Excelについて,質問内容はどれでしょう,11165,11
3176486,Powerpointについて,質問内容はどれでしょう,11166,11
3176487,データ復旧してほしい,データはどこにあるものですか？,11167,11
3176488,ファイル復旧してほしい,データはどこにあるものですか？,11168,11
3176489,ファイルサーバにデータが保存できない,保存先はどこですか？,11169,11
3176490,会議室でファイルサーバが見たい,"以下の操作にて認証通過後、可能です。
\\b1st10\システム開発共有\50_配布\マニュアル・申請書
ファイル名：会議室ネットワーク使用マニュアル.doc",11170,11
3176491,会議室で社内環境がみたい,"以下の操作にて認証通過後、可能です。
\\b1st10\システム開発共有\50_配布\マニュアル・申請書
ファイル名：会議室ネットワーク使用マニュアル.doc",11171,11
3176492,会議室でネット接続したい,会議室ではどなたでもLAN接続頂ければネット閲覧可能です。,11172,11
3176493,USBメモリを借りたい,申請済ですか,11173,11
3176494,Wifiルータを借りたい,申請済ですか,11174,11
3176495,LANケーブルを借りたい,インフラチームまでご連絡ください。,11175,11
3176496,延長電源コードを借りたい,インフラチームまでご連絡ください。,11176,11
3176497,DVDを再生したい,インフラチームまでご連絡ください。,11177,11
3176498,動画を再生したい,インフラチームまでご連絡ください。,11178,11
3176499,動画を編集したい,インフラチームまでご連絡ください。,11179,11
3176500,winメール.datを解凍したい,対象データをインフラチームまで転送してください。,11180,11
3176501,PDFが見れない,PDFファイルを右クリックし、「プログラムから開く」−「既定のプログラムの選択」からAdobe readerを選択ください。,11181,11
3176502,ファイルが解凍できない,インフラチームまでご連絡ください。,11182,11
3176503,ファイルが圧縮できない,インフラチームまでご連絡ください。,11183,11
3176504,ファイルをパスWord付きで圧縮したい,インフラチームまでご連絡ください。,11184,11
3176505,メールの自動応答設定をしたい,"以下の資料をご参照ください。
\\b1st10\システム開発共有\50_配布\マニュアル・申請書\ActiveMail(WEBメール)
ファイル名：WEBメール_初期設定資料.xls",11185,11
